[19-06-2018 01:13:14] Imagenes importadas de usuario con id = 12 |files : hospital-rg.jpg
[19-06-2018 01:15:45] Imagenes importadas de usuario con id = 12 |files : hospital-ush.jpg
[19-06-2018 01:15:45] Imagenes importadas de usuario con id = 12 |files : hospital-rg.jpg
[19-06-2018 01:17:08] Imagenes importadas de usuario con id = 12 |files : hospital-ush.jpg
[19-06-2018 01:17:08] Imagenes importadas de usuario con id = 12 |files : hospital-rg.jpg
[19-06-2018 01:37:07] Imagenes importadas de usuario con id = 12 |files : epet1.jpg
[19-06-2018 01:37:07] Imagenes importadas de usuario con id = 12 |files : Escuela1.jpg
[19-06-2018 01:49:53] Imagenes importadas de usuario con id = 12 | Categoria :  | files : epet1.jpg
[19-06-2018 01:49:53] Imagenes importadas de usuario con id = 12 | Categoria :  | files : IPES1.jpg
[19-06-2018 01:49:53] Imagenes importadas de usuario con id = 12 | Categoria :  | files : Escuela1.jpg
[19-06-2018 02:09:24] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : epet1.jpg
[19-06-2018 02:10:08] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuela1.jpg
[19-06-2018 02:15:56] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : escuela13.jpg
[19-06-2018 02:15:56] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : escuela13-ushu.jpeg
[19-06-2018 02:18:49] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : escuela13-ushu.jpeg
[19-06-2018 02:18:49] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuela1.jpg
[19-06-2018 02:21:59] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuela1.jpg
[19-06-2018 02:21:59] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : escuela13.jpg
[19-06-2018 02:23:23] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : IPES1.jpg
[19-06-2018 02:26:37] Imagenes importadas de usuario con id = 12 | Categoria : Enseñanza | files : escuela13-ushu.jpeg
[19-06-2018 02:26:38] Imagenes importadas de usuario con id = 12 | Categoria : Enseñanza | files : escuela13.jpg
[19-06-2018 02:35:44] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuela9-ushu.jpeg
[19-06-2018 02:35:44] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : escuela42-rg.jpg
[19-06-2018 02:43:05] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuela3-ushu.jpeg
[19-06-2018 02:44:56] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuela9-ushu.jpeg
[19-06-2018 02:48:12] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuela9-ushu.jpeg
[19-06-2018 03:00:36] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : IPES1.jpg
[19-06-2018 03:00:36] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : utn-uces-rg.jpg
[19-06-2018 03:03:55] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : escuela13-ushu.jpeg
[19-06-2018 03:03:55] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : utn-uces-rg.jpg
[19-06-2018 03:09:19] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : escuela15.jpg
[19-06-2018 03:09:19] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : utn-uces-rg.jpg
