[27-06-2018 11:53:52] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : shield.jpg
[27-06-2018 11:59:07] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : cf4.png
[27-06-2018 11:59:07] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : login.JPG
[27-06-2018 12:00:36] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : cf4.png
[27-06-2018 12:00:36] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : login.JPG
[27-06-2018 12:07:59] Imagenes importadas de usuario con id = 12 | Categoria : Restaurantes | files : cf4.png
[27-06-2018 12:07:59] Imagenes importadas de usuario con id = 12 | Categoria : Restaurantes | files : famar.png
[27-06-2018 12:09:13] Imagenes importadas de usuario con id = 12 | Categoria : Hospitales | files : AMR Trazabilidad.PNG
[27-06-2018 12:09:13] Imagenes importadas de usuario con id = 12 | Categoria : Hospitales | files : shield.jpg
[27-06-2018 12:17:31] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : cf4.png
[27-06-2018 12:17:31] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : IMG-20180509-WA0000.jpeg
[27-06-2018 03:58:59] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : famar.png
[27-06-2018 03:58:59] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : shield.jpg
[27-06-2018 04:02:13] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : trazabilidadlogo.jpg
[27-06-2018 07:29:29] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : 2.JPG
[27-06-2018 07:37:37] Imagenes importadas de usuario con id = 12 | Categoria : Hospitales | files : Hospitales/12/1.JPG,Hospitales/12/2.JPG
[27-06-2018 07:44:19] Imagenes importadas de usuario con id = 12 | Categoria : Museos | files : Museos/12/IAServer.PNG,Museos/12/cf4.png
[27-06-2018 07:48:13] Imagenes importadas de usuario con id = 12 | Categoria : Museos | files : Museos/12/famar.png,Museos/12/IMG-20180509-WA0000.jpeg
[27-06-2018 07:49:52] Imagenes importadas de usuario con id = 12 | Categoria : Otros Servicios | files : Otros Servicios/12/Chrysanthemum.jpg,Otros Servicios/12/Koala.jpg
[27-06-2018 07:59:28] Imagenes importadas de usuario con id = 12 | Categoria : Restaurantes | files : ,Restaurantes/12/Lighthouse.jpg
[27-06-2018 07:59:29] Imagenes importadas de usuario con id = 12 | Categoria : Restaurantes | files : ,Restaurantes/12/Lighthouse.jpg,Restaurantes/12/Penguins.jpg
[27-06-2018 08:13:55] Imagenes importadas de usuario con id = 12 | Categoria : Deportes | files : Deportes/12/Hydrangeas.jpg,Deportes/12/Desert.jpg
[27-06-2018 08:29:23] Imagenes importadas de usuario con id = 12 | Categoria : Hogar | files : Hogar/12/Koala.jpg,Hogar/12/Penguins.jpg
[27-06-2018 08:32:53] Imagenes importadas de usuario con id = 12 | Categoria : Profesionales | files : Profesionales/12/Tulips.jpg,Profesionales/12/Lighthouse.jpg
