[28-06-2018 12:00:55] Imagenes importadas de usuario con id = 12 | Categoria : Restaurantes | files : Restaurantes/12/Jellyfish.jpg,Restaurantes/12/Penguins.jpg
[28-06-2018 12:02:44] Imagenes importadas de usuario con id = 12 | Categoria : Hoteles | files : Hoteles/12/Hydrangeas.jpg,Hoteles/12/Penguins.jpg
[28-06-2018 12:05:04] Imagenes importadas de usuario con id = 12 | Categoria : Escuelas | files : Escuelas/12/Lighthouse.jpg,Escuelas/12/Desert.jpg
[28-06-2018 12:11:11] Imagenes importadas de usuario con id = 12 | Categoria : Deportes | files : Deportes/12/Lighthouse.jpg,Deportes/12/Koala.jpg
[28-06-2018 12:20:33] Imagenes importadas de usuario con id = 12 | Categoria : Deportes | files : Deportes/12/Lighthouse.jpg,Deportes/12/Koala.jpg,Deportes/12/Koala.jpg
[28-06-2018 12:23:43] Imagenes importadas de usuario con id = 12 | Categoria :  | files : Deportes/12/Lighthouse.jpg,Deportes/12/Koala.jpg,Deportes/12/Koala.jpg,/12/Penguins.jpg
[28-06-2018 12:23:48] Imagenes importadas de usuario con id = 12 | Categoria :  | files : Deportes/12/Lighthouse.jpg,Deportes/12/Koala.jpg,Deportes/12/Koala.jpg,/12/Penguins.jpg,/12/Tulips.jpg
[28-06-2018 12:26:04] Imagenes importadas de usuario con id = 12 | Categoria :  | files : Deportes/12/Lighthouse.jpg,Deportes/12/Koala.jpg,Deportes/12/Koala.jpg,/12/Penguins.jpg,/12/Tulips.jpg,/12/Chrysanthemum.jpg
[28-06-2018 12:26:34] Imagenes importadas de usuario con id = 12 | Categoria : Otros Servicios | files : Deportes/12/Lighthouse.jpg,Deportes/12/Koala.jpg,Deportes/12/Koala.jpg,/12/Penguins.jpg,/12/Tulips.jpg,/12/Chrysanthemum.jpg,Otros Servicios/12/Penguins.jpg
[28-06-2018 12:27:05] Imagenes importadas de usuario con id = 12 | Categoria : Otros Servicios | files : Deportes/12/Lighthouse.jpg,Deportes/12/Koala.jpg,Deportes/12/Koala.jpg,/12/Penguins.jpg,/12/Tulips.jpg,/12/Chrysanthemum.jpg,Otros Servicios/12/Penguins.jpg,Otros Servicios/12/Penguins.jpg
[28-06-2018 12:31:15] Imagenes importadas de usuario con id = 12 | Categoria : Museos | files : Otros Servicios/12/Jellyfish.jpg,Museos/12/Penguins.jpg
[28-06-2018 12:33:21] Imagenes importadas de usuario con id = 12 | Categoria : Museos | files : Museos/12/Koala.jpg,Museos/12/Penguins.jpg
[28-06-2018 12:34:52] Imagenes importadas de usuario con id = 12 | Categoria : Museos | files : Museos/12/Koala.jpg,Museos/12/Penguins.jpg,Museos/12/Jellyfish.jpg
[28-06-2018 12:34:54] Imagenes importadas de usuario con id = 12 | Categoria : Museos | files : Museos/12/Koala.jpg,Museos/12/Penguins.jpg,Museos/12/Jellyfish.jpg,Museos/12/Tulips.jpg
[28-06-2018 12:35:34] Imagenes importadas de usuario con id = 12 | Categoria : Museos | files : Museos/12/Koala.jpg,Museos/12/Jellyfish.jpg
[28-06-2018 12:37:40] Imagenes importadas de usuario con id = 12 | Categoria : Restaurantes | files : Museos/12/cf4.png,Restaurantes/12/shield.jpg
[28-06-2018 12:40:55] Imagenes importadas de usuario con id = 12 | Categoria : Hoteles | files : Hoteles/12/cf4.png,Hoteles/12/shield.jpg
[28-06-2018 12:42:15] Imagenes importadas de usuario con id = 12 | Categoria : Deportes | files : Deportes/12/IAServer.PNG,Deportes/12/AMR Trazabilidad.PNG
